type,5:1,7_5:1,10:1,15:1,20:1,25:1,30:1,40:1,50:1,60:1,80:1,100:1,legend,mass
NMRV-150,,,,,,,,,"28,0 1037 1,4","23,3 1195 1,1","17,5 1484 0,8",,n 2 M 2 F.S.,"113,4"
"P 1 =5,5
   / 1400 /:  AIS132S4",,,,,,,,,,,,,,
NMRV-1 10,,"186,7 253,2 1,9","140,0 334 1,6","93,3 484 1,2","70,0 638 0,9",,,,,,,,n 2 M 2 F.S.,"77,3"
NMRV-130,,,"140,0 333,9 2,5","93,3 490 1,9","70,0 645 1,4","56,0 788 1,2","46,7 900 1,2","35,0 1171 0,9",,,,,n 2 M 2 F.S.,"90,3"
NMRV-150,,,,,"70,0 645,3 2,0","56,0 788 1,5","46,7 934 1,3","35,0 1171 1,3","28,0 1426 1,0","23,3 1643 0,8",,,n 2 M 2 F.S.,"126,3"
"P 1 =7,5
   / 1400 /:  AIS132M4",,,,,,,,,,,,,,
NMRV-1 10,,"186,7 345,3 1,4","140,0 455 1,1","93,3 660 0,9",,,,,,,,,n 2 M 2 F.S.,"89,8"
NMRV-130,,"186,7 349,2 2,1","140,0 455 1,8","93,3 668 1,4","70,0 880 1,0","56,0 1074 0,9","46,7 1228 0,8","35,0 1596 0,7",,,,,n 2 M 2 F.S.,"102,8"
NMRV-150,,,,,"70,0 880,0 1,5","56,0 1074 1,1","46,7 1274 0,9","35,0 1596 1,0",,,,,n 2 M 2 F.S.,"138,8"
"P 1 =11,0
   / 1400 /:  AIS160M4",,,,,,,,,,,,,,
NMRV-150,,"186,7 512,1 2,3","140,0 675 1,8","93,3 990 1,3","70,0 1291 1,0","56,0 1576 0,8",,,,,,,n 2 M 2 F.S.,"174,0"
"P 1 =15,0
   / 1400 /:  AIS160L4",,,,,,,,,,,,,,
NMRV-150,,"186,7 698,3 1,7","140,0 921 1,3","93,3 1351 0,9","70,0 1760 0,7",,,,,,,,n 2 M 2 F.S.,"174,0"
